20:51:55:524,ets,Jul,29,2019,12:21:46
20:51:55:524,
20:51:55:529,rst:0x1,(POWERON_RESET),boot:0x13,(SPI_FAST_FLASH_BOOT)
20:51:55:531,configsip:,0,,SPIWP:0xee
20:51:55:538,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
20:51:55:540,mode:DIO,,clock,div:1
20:51:55:542,load:0x3fff0030,len:1184
20:51:55:544,load:0x40078000,len:13260
20:51:55:547,load:0x40080400,len:3028
20:51:55:548,entry,0x400805e4
20:51:55:667,0,0
20:51:55:691,0,0
20:51:55:717,0,0
20:51:55:741,0,0
20:51:55:766,0,0
20:51:55:791,0,0
20:51:55:815,0,0
20:51:55:841,0,0
20:51:55:865,0,0
20:51:55:890,0,0
20:51:55:915,0,0
20:51:55:941,0,0
20:51:55:966,0,0
20:51:55:991,0,0
20:51:56:016,0,0
20:51:56:041,0,0
20:51:56:066,0,0
20:51:56:091,0,0
20:51:56:116,0,0
20:51:56:141,0,0
20:51:56:167,73,18
20:51:56:192,565,159
20:51:56:216,1430,517
20:51:56:242,834,725
20:51:56:266,560,847
20:51:56:292,1593,1104
20:51:56:317,255,810
20:51:56:342,0,602
20:51:56:366,0,462
20:51:56:391,0,63
20:51:56:416,0,0
20:51:56:441,0,0
20:51:56:465,0,0
20:51:56:491,0,0
20:51:56:517,0,0
20:51:56:540,0,0
20:51:56:566,0,0
20:51:56:591,0,0
20:51:56:616,0,0
20:51:56:642,0,0
20:51:56:666,0,0
20:51:56:692,0,0
20:51:56:717,0,0
20:51:56:741,0,0
20:51:56:766,14,3
20:51:56:792,0,3
20:51:56:816,254,67
20:51:56:842,67,83
20:51:56:867,848,292
20:51:56:892,223,348
20:51:56:917,589,431
20:51:56:942,133,448
20:51:56:966,272,304
20:51:56:992,451,361
20:51:57:016,0,214
20:51:57:042,0,180
20:51:57:067,0,112
20:51:57:092,0,0
20:51:57:116,0,0
20:51:57:142,0,0
20:51:57:166,0,0
20:51:57:192,0,0
20:51:57:217,0,0
20:51:57:241,0,0
20:51:57:266,0,0
20:51:57:291,0,0
20:51:57:316,0,0
20:51:57:340,0,0
20:51:57:365,0,0
20:51:57:390,0,0
20:51:57:416,0,0
20:51:57:441,0,0
20:51:57:466,52,13
20:51:57:491,91,35
20:51:57:516,0,35
20:51:57:540,255,99
20:51:57:565,725,267
20:51:57:590,107,271
20:51:57:616,1072,539
20:51:57:641,589,623
20:51:57:666,3,442
20:51:57:691,229,473
20:51:57:716,910,432
20:51:57:741,15,289
20:51:57:766,204,339
20:51:57:791,0,282
20:51:57:816,6,56
20:51:57:841,6,54
20:51:57:866,0,3
20:51:57:891,0,3
20:51:57:917,0,1
20:51:57:941,0,0
20:51:57:966,0,0
20:51:57:992,0,0
20:51:58:016,0,0
20:51:58:042,0,0
20:51:58:066,0,0
20:51:58:091,0,0
20:51:58:115,0,0
20:51:58:140,0,0
20:51:58:167,0,0
20:51:58:191,0,0
20:51:58:216,30,7
20:51:58:241,0,7
20:51:58:266,230,65
20:51:58:291,326,146
20:51:58:317,581,284
20:51:58:342,1559,674
20:51:58:366,441,726
20:51:58:391,250,707
20:51:58:417,1235,871
20:51:58:441,560,621
20:51:58:467,238,570
20:51:58:492,11,511
20:51:58:517,16,206
20:51:58:541,4,67
20:51:58:566,1,8
20:51:58:590,6,6
20:51:58:616,0,2
20:51:58:641,0,1
20:51:58:666,0,1
20:51:58:691,0,0
20:51:58:716,0,0
20:51:58:741,0,0
20:51:58:765,0,0
20:51:58:791,0,0
20:51:58:815,0,0
20:51:58:840,0,0
20:51:58:867,0,0
20:51:58:891,0,0
20:51:58:915,0,0
20:51:58:940,21,5
20:51:58:966,0,5
20:51:58:992,160,45
20:51:59:016,594,193
20:51:59:041,77,207
20:51:59:066,80,227
20:51:59:091,80,207
20:51:59:117,1600,459
20:51:59:141,852,653
20:51:59:166,146,669
20:51:59:192,880,869
20:51:59:217,16,473
20:51:59:241,234,319
20:51:59:267,0,282
20:51:59:291,0,62
20:51:59:316,0,58
20:51:59:341,0,0
20:51:59:366,0,0
20:51:59:391,0,0
20:51:59:416,0,0
20:51:59:441,0,0
20:51:59:466,0,0
20:51:59:491,0,0
20:51:59:516,0,0
20:51:59:541,0,0
20:51:59:566,0,0
20:51:59:591,0,0
20:51:59:616,0,0
20:51:59:641,0,0
20:51:59:666,0,0
20:51:59:692,123,30
20:51:59:716,310,108
20:51:59:741,264,174
20:51:59:766,64,190
20:51:59:791,48,171
20:51:59:816,114,122
20:51:59:841,0,56
20:51:59:866,13,43
20:51:59:891,741,217
20:51:59:917,1296,512
20:51:59:941,430,620
20:51:59:967,0,616
20:51:59:991,1,431
20:52:00:015,0,107
20:52:00:040,0,0
20:52:00:066,0,0
20:52:00:090,0,0
20:52:00:115,0,0
20:52:00:140,16,4
20:52:00:165,0,4
20:52:00:190,0,4
20:52:00:215,0,4
20:52:00:241,0,0
20:52:00:266,0,0
20:52:00:291,0,0
20:52:00:316,0,0
20:52:00:342,0,0
20:52:00:366,0,0
20:52:00:392,0,0
20:52:00:416,0,0
20:52:00:442,161,40
20:52:00:466,129,72
20:52:00:491,1655,486
20:52:00:516,1139,771
20:52:00:540,560,870
20:52:00:566,835,1047
20:52:00:592,464,749
20:52:00:615,639,624
20:52:00:640,155,523
20:52:00:666,0,314
20:52:00:690,0,198
20:52:00:716,0,38
20:52:00:740,0,0
20:52:00:766,0,0
20:52:00:791,0,0
20:52:00:816,0,0
20:52:00:841,16,4
20:52:00:865,7,5
20:52:00:890,0,5
20:52:00:915,0,5
20:52:00:940,0,1
20:52:00:965,0,0
20:52:00:991,0,0
20:52:01:016,0,0
20:52:01:041,0,0
20:52:01:067,21,5
20:52:01:091,0,5
20:52:01:116,0,5
20:52:01:141,0,5
20:52:01:166,0,0
20:52:01:191,0,0
20:52:01:217,816,204
20:52:01:241,505,330
20:52:01:267,128,362
20:52:01:292,707,539
20:52:01:317,0,335
20:52:01:341,0,208
20:52:01:366,130,209
20:52:01:391,50,45
20:52:01:416,455,158
20:52:01:442,816,362
20:52:01:466,0,330
20:52:01:491,0,317
20:52:01:516,0,204
20:52:01:541,47,11
20:52:01:566,0,11
20:52:01:591,0,11
20:52:01:616,0,11
20:52:01:640,0,0
20:52:01:666,0,0
20:52:01:691,0,0
20:52:01:716,43,10
20:52:01:741,0,10
20:52:01:766,0,10
20:52:01:792,0,10
20:52:01:816,0,0
20:52:01:841,0,0
20:52:01:866,0,0
20:52:01:891,0,0
20:52:01:916,0,0
20:52:01:942,0,0
20:52:01:966,43,10
20:52:01:993,0,10
20:52:02:016,0,10
20:52:02:041,0,10
20:52:02:067,50,12
20:52:02:091,0,12
20:52:02:116,0,12
20:52:02:141,0,12
20:52:02:165,0,0
20:52:02:190,0,0
20:52:02:216,0,0
20:52:02:241,0,0
20:52:02:266,0,0
20:52:02:291,0,0
20:52:02:317,0,0
20:52:02:341,0,0
20:52:02:367,0,0
20:52:02:390,0,0
20:52:02:416,0,0
20:52:02:442,80,20
20:52:02:466,0,20
20:52:02:491,0,20
20:52:02:516,0,20
20:52:02:541,0,0
20:52:02:567,0,0
20:52:02:590,0,0
20:52:02:615,0,0
20:52:02:640,0,0
20:52:02:668,0,0
20:52:02:690,0,0
20:52:02:716,0,0
20:52:02:740,0,0
20:52:02:765,0,0
20:52:02:790,0,0
20:52:02:816,0,0
20:52:02:841,0,0
20:52:02:867,0,0
20:52:02:891,96,24
20:52:02:917,0,24
20:52:02:942,950,261
20:52:02:966,442,372
20:52:02:991,0,348
20:52:03:017,1271,665
20:52:03:041,133,461
20:52:03:066,0,351
20:52:03:091,38,360
20:52:03:116,1,43
20:52:03:140,0,9
20:52:03:166,0,9
20:52:03:191,0,0
20:52:03:216,0,0
20:52:03:240,0,0
20:52:03:267,0,0
20:52:03:290,0,0
20:52:03:316,0,0
20:52:03:341,0,0
20:52:03:366,0,0
20:52:03:391,0,0
20:52:03:416,0,0
20:52:03:441,0,0
20:52:03:466,0,0
20:52:03:492,0,0
20:52:03:516,0,0
20:52:03:541,0,0
20:52:03:566,0,0
20:52:03:591,0,0
20:52:03:616,108,27
20:52:03:641,208,79
20:52:03:666,876,298
20:52:03:691,780,493
20:52:03:716,528,598
20:52:03:741,485,667
20:52:03:766,76,467
20:52:03:791,53,285
